category,test,engine,N,sample,energy_uj,time_s,mem_kb
access-char,baseline,v8,536870912,2,79148418,4.45889,36224
access-char,baseline,v8,536870912,3,79163677,4.4593,36352
access-char,baseline,v8,536870912,4,79131206,4.45915,36480
access-char,baseline,v8,536870912,5,79175517,4.45871,36480
access-char,baseline,v8,536870912,6,79099895,4.45895,36224
access-char,baseline,v8,536870912,7,79160808,4.45963,36352
access-char,baseline,v8,536870912,8,79178508,4.46027,36352
access-char,baseline,v8,536870912,9,79183941,4.45963,36736
access-char,baseline,v8,536870912,10,79193706,4.45844,36608
access-char,baseline,v8,1073741824,1,131280060,7.39879,36352
access-char,baseline,v8,1073741824,2,131312896,7.39836,36480
access-char,baseline,v8,1073741824,3,131173188,7.39171,36608
access-char,baseline,v8,1073741824,4,131297088,7.38521,36608
access-char,baseline,v8,1073741824,5,131292144,7.38245,36480
access-char,baseline,v8,1073741824,6,130947907,7.38075,36480
access-char,baseline,v8,1073741824,7,130983918,7.38488,36480
access-char,baseline,v8,1073741824,8,131147736,7.394,36864
access-char,baseline,v8,1073741824,9,131053437,7.38769,36608
access-char,baseline,v8,1073741824,10,131061188,7.3874,36608
access-char,charAt,v8,1024,1,387145,0.0204111,28544
access-char,charAt,v8,1024,2,409850,0.0203379,28160
access-char,charAt,v8,1024,3,399963,0.0211098,31104
access-char,charAt,v8,1024,4,390624,0.0201498,28672
access-char,charAt,v8,1024,5,384398,0.0203917,28672
access-char,charAt,v8,1024,6,393187,0.0201902,28800
access-char,charAt,v8,1024,7,390319,0.0202629,28544
access-char,charAt,v8,1024,8,389465,0.0203476,28672
access-char,charAt,v8,1024,9,393249,0.02019,28544
access-char,charAt,v8,1024,10,393553,0.0201103,28928
access-char,charAt,v8,2048,1,393370,0.0207304,30848
access-char,charAt,v8,2048,2,388182,0.0208535,31488
access-char,charAt,v8,2048,3,413756,0.0209272,30720
access-char,charAt,v8,2048,4,392516,0.0205105,30720
access-char,charAt,v8,2048,5,385620,0.0208195,31104
access-char,charAt,v8,2048,6,390563,0.0206459,31232
access-char,charAt,v8,2048,7,386901,0.0206781,30848
access-char,charAt,v8,2048,8,387634,0.0207532,31104
access-char,charAt,v8,2048,9,393188,0.0209075,30848
access-char,charAt,v8,2048,10,409362,0.020863,30976
access-char,charAt,v8,4096,1,409179,0.0208922,31488
access-char,charAt,v8,4096,2,411131,0.02067,31488
access-char,charAt,v8,4096,3,416320,0.0210028,31360
access-char,charAt,v8,4096,4,391601,0.020873,31104
access-char,charAt,v8,4096,5,411132,0.0207734,31488
access-char,charAt,v8,4096,6,415343,0.0210742,31232
access-char,charAt,v8,4096,7,410949,0.020908,31616
access-char,charAt,v8,4096,8,407775,0.020705,31104
access-char,charAt,v8,4096,9,414184,0.0208041,31232
